EmployeeID,Tenure,RoleHistory,Promotions,LastPromotionYearsAgo,PastPerformance,SkillRelevance,TrainingParticipation,EventActivity,FeedbackScore,SentimentScore,TeamAttritionRate,ManagerAttrition,ProjectType,LocationChanges,Feedback360,RoleChanges,WorkLifeBalance,LeavePattern,RecognitionCount,AwardsReceived,AttritionLabel,ExitReason,ManagerDialogue,EmployeeResponse,Business_Unit,Region
EID343962,2,Engineer,0,2,0.7,0.8,3,2,3,-0.1,0.1,0.0,R&D,0,3,0,4,1.2,1,0,0,None,Focus on improving collaboration skills and proactively contribute to projects.," ""I understand. I'll make an effort to communicate more effectively with my team.""",BU1,REG3
EID629903,8,Manager,2,3,1.4,0.9,6,7,5,0.5,0.3,1.0,Client-facing,1,4,2,2,0.9,4,1,1,Manager Issue,We recognize your contributions. We will assign a new mentor to support and guide you through this difficult transition.," ""While I appreciate the effort  my decision is based on the previous manager's toxic environment that has already taken its toll.""",BU1,REG3
EID731262,4,Consultant,0,4,0.9,0.7,2,3,3,0.0,0.2,0.0,Standard,0,3,0,3,1.0,2,0,0,None,Your client feedback is positive. Continue developing your presentation skills.," ""Thank you. I'm working on improving my communication style.""",BU3,REG4
EID127824,12,Director,3,4,1.6,0.9,8,8,5,0.7,0.1,0.0,R&D,2,5,3,4,0.6,6,3,0,None,Your leadership is invaluable. Let's discuss strategies for expanding our R&D capabilities.," ""I'm committed to driving innovation and ensuring our continued success.""",BU9,REG3
EID688508,6,Analyst,1,3,1.0,0.6,3,5,3,0.2,0.3,0.0,Standard,1,4,1,3,1.4,3,0,0,None,Your analytical skills are developing well. Consider pursuing specialized training.," ""I'm interested in learning more about data modeling techniques.""",BU7,REG3
EID308496,9,Engineer,2,1,1.3,0.8,7,6,4,0.4,0.2,1.0,Client-facing,0,4,2,3,0.8,4,1,1,Career Growth,We value your expertise. We can fast-track you to a senior engineering role and expose you to new projects.," ""Thank you for the offer  but I need a change in environment. I want to use my skills in a completely different industry.""",BU6,REG2
EID850800,3,Consultant,0,3,0.8,0.9,2,2,3,-0.3,0.2,0.0,R&D,0,3,0,2,1.3,1,0,0,None,Focus on building rapport with clients and developing strong relationships.," ""I'm working on improving my interpersonal skills.""",BU3,REG2
EID781453,15,Manager,3,5,1.7,0.9,9,7,5,0.8,0.1,0.0,Standard,1,5,3,3,0.5,7,4,0,None,Your mentorship is crucial for junior colleagues. We are considering you for a VP position next year," ""I'm dedicated to nurturing talent and fostering a collaborative work environment.""",BU9,REG2
EID835392,7,Analyst,1,2,1.2,0.7,5,6,4,0.3,0.2,0.0,Client-facing,0,4,1,2,0.9,4,1,0,None,Your insights are valuable. Explore advanced certification in your niche.," ""Thank you. I'm actively researching certification options.""",BU9,REG1
EID671412,1,Engineer,0,1,0.6,0.7,1,1,2,-0.4,0.4,1.0,R&D,0,2,0,3,1.7,0,0,1,Personal,We understand you're going through a tough time. Take the leave you need and contact us when you feel ready to return.," ""I am grateful for your support  but the emotional stress from personal matters and work has already taken its toll.""",BU9,REG2
EID539898,11,Director,4,3,1.8,1.0,8,9,5,0.9,0.1,0.0,Client-facing,2,5,4,4,0.6,8,5,0,None,Your strategic vision is essential for the company. You are a key piece in the next years strategic goals," ""I'm focused on driving innovation and expanding our market presence.""",BU3,REG2
EID331148,4,Consultant,0,4,0.9,0.8,3,3,3,0.1,0.3,0.0,Standard,0,3,0,3,1.1,2,0,0,None,Continue refining your communication skills and building client trust.," ""I'm working on improving my presentation style and active listening skills.""",BU7,REG2
EID571029,2,Analyst,0,2,0.7,0.6,2,1,2,-0.6,0.2,0.0,R&D,0,2,0,3,1.9,1,0,1,Work-Life Balance,We appreciate your skills. Let's discuss strategies for managing your workload effectively.," ""Thanks  but I've decided that I cannot sacrifice any more hours of my personal time for this company. """,BU2,REG1
EID717889,8,Engineer,2,2,1.4,0.9,6,7,5,0.5,0.1,1.0,Client-facing,1,4,2,2,0.8,5,2,1,Better Offer,We value your contribution. We will match the offer you have received and ensure you have growth opportunities.," ""While I appreciate your effort  I believe I've already burned that bridge. It's best I part ways and seek opportunities elsewhere.""",BU7,REG4
EID391704,5,Manager,1,1,1.1,0.7,4,4,4,0.2,0.3,0.0,Standard,0,3,1,3,1.3,3,0,0,None,Your team leadership is commendable. Continue mentoring your direct reports.," ""I'm focused on empowering my team members and fostering a supportive work environment.""",BU6,REG2
EID948749,3,Analyst,0,3,0.7,0.7,2,3,2,0.2,0.2,0.0,Standard,0,2,0,3,1.0,0,0,0,None,"Continue developing your analytical skills, and let's discuss potential training opportunities in our next meeting.",I appreciate the feedback. I'm eager to learn more and contribute to the team's success.,BU10,REG4
EID106814,7,Engineer,1,2,1.2,0.9,5,5,4,0.6,0.1,0.0,R&D,0,4,1,4,0.7,2,1,0,None,Your technical skills are impressive! Let's explore opportunities to lead smaller projects and mentor junior engineers.,That sounds exciting! I'm ready to take on more responsibility and share my knowledge with others.,BU7,REG1
EID895667,1,Analyst,0,1,0.6,0.6,1,1,2,0.1,0.3,1.0,Client-facing,0,1,0,2,1.5,0,0,1,Work-Life Balance,I understand the workload has been demanding. We can adjust priorities to reduce your stress and ensure more manageable hours.,"Thank you, but I've decided to prioritize my health and wellbeing. I appreciate the offer, but I need a less demanding environment.",BU10,REG3
EID944962,10,Manager,2,3,1.5,0.8,7,8,5,0.8,0.2,0.0,Standard,1,5,2,4,0.6,4,2,0,None,Your leadership has been invaluable. We're considering expanding your team and offering you mentorship opportunities to guide new managers.,I'm committed to the team's success and excited to help develop future leaders. I appreciate the recognition and look forward to the challenge.,BU9,REG4
EID267414,5,Engineer,0,5,0.9,0.7,3,4,3,0.3,0.4,0.0,R&D,0,3,1,3,1.2,1,0,1,Better Offer,We value your technical expertise. We can offer a salary increase and explore opportunities for specialized training in your area of interest.,"I appreciate the offer, but I've received a significantly better compensation package and career growth opportunity elsewhere. I'm sorry to leave, but it's the best decision for my career.",BU6,REG4
EID832052,2,Analyst,0,2,0.7,0.8,2,2,3,0.2,0.1,0.0,Client-facing,0,3,0,2,1.1,1,0,0,None,You've shown great potential in data analysis. We can provide more challenging projects to hone your skills and make a greater impact.,I'm eager to take on more complex tasks and learn new techniques. I appreciate the opportunity to grow.,BU3,REG3
EID543143,15,Director,3,5,1.6,0.9,9,9,5,0.9,0.1,0.0,R&D,1,5,3,4,0.5,5,3,0,None,Your strategic leadership has been instrumental to our success. We're exploring opportunities for you to lead a new division with increased autonomy and responsibility.,I'm honored by the offer and excited to shape the future direction of the company. I'm ready to embrace the challenge.,BU6,REG1
EID456778,4,Engineer,0,4,0.8,0.6,3,3,2,0.1,0.5,1.0,Standard,0,2,1,2,1.7,0,0,1,Manager Issue,"I apologize for the recent manager change. We are actively addressing your concerns. In the interim, you will report to me directly and I will give you any assistance you need.",Unfortunately the situation is untenable and there has been too much damage to the team. I will be resigning at the end of the month.,BU7,REG1
EID391369,8,Consultant,1,4,1.3,0.9,6,6,4,0.7,0.2,0.0,Client-facing,0,4,1,4,0.8,3,1,0,None,Your consulting skills have been highly valued by our clients. Let’s discuss options for you to specialize in a niche area and build a thought leadership presence.,That sounds great. I'd like to focus on emerging technologies and become a recognized expert in that area.,BU1,REG1
EID263032,6,Analyst,1,1,1.1,0.8,5,5,4,0.5,0.3,0.0,Standard,0,4,1,3,0.9,2,0,0,None,Your analytical skills are crucial to our process improvement initiatives. We will put you on a fast track with additional training and project lead opportunities.,"I'm ready for more responsibility, I'm looking forward to learning the more complex parts of the business.",BU3,REG1
EID325772,9,Manager,2,2,1.4,0.9,7,7,5,0.8,0.1,0.0,R&D,0,5,2,4,0.6,3,2,0,None,Your leadership in our R&D efforts has been outstanding. We want to explore opportunities for you to take ownership of a key project and present findings at an industry conference.,Iâ€™m always ready to expand my horizons and take a leading role on a major initiative.,BU8,REG2
EID900581,3,Engineer,0,3,0.7,0.7,2,3,2,0.2,0.3,0.0,Client-facing,0,2,0,3,1.0,0,0,0,None,Let’s schedule some time to discuss your project involvement and ensure that your technical skills are continually improved.,I want to improve my current abilities and contribute even more to the success of the projects.,BU2,REG1
EID452944,12,Director,3,3,1.7,0.9,8,8,5,0.9,0.2,0.0,Standard,1,5,2,3,0.5,4,3,0,None,I admire your vision. We would like you to focus on innovation and work with me to make a new strategy for the company.,"I am really excited to be part of that effort, with an innovation focus I think we can do great things.",BU4,REG3
EID207175,5,Consultant,0,5,0.9,0.8,4,4,3,0.3,0.3,0.0,Client-facing,0,3,0,3,1.2,1,0,1,Career Growth,We value your client engagement skills. We can discuss internal promotion opportunities if that's an avenue you are interested in following.,"I appreciate the offer, but I'm going to a position at a larger consultancy that will help my career.",BU4,REG4
EID197251,1,Analyst,0,1,0.6,0.6,1,1,2,0.1,0.2,0.0,R&D,0,1,0,2,1.5,0,0,0,None,"I think you need more attention on your core skills, especially in statistics, and we'd like to offer some training options.",This feedback is helpful and it makes me really glad that the company cares.,BU10,REG4
EID498382,7,Engineer,1,2,1.2,0.9,5,5,4,0.6,0.1,0.0,Standard,0,4,1,4,0.7,2,1,0,None,"You are the technical lead and we can see your leadership skills are there, we should look at your path to become a manager.",I think that will be great and will challenge me a lot.,BU5,REG2
EID201414,4,Engineer,0,4,0.8,0.7,3,3,2,0.2,0.2,1.0,R&D,0,2,1,3,1.1,1,0,1,Better Offer,We value your work on our AI team. If you stay we can increase your salary and offer promotion as soon as Q3.,I have an offer for almost double my salary somewhere else.,BU4,REG2
EID476417,10,Manager,2,3,1.5,0.8,7,8,5,0.8,0.2,0.0,Client-facing,1,5,2,4,0.6,4,2,0,None,Your team does amazing work. We have a new major client and a new team that will fall under your management.,"Excited to work on that, lets get this started!",BU7,REG4
EID988662,5,Engineer,0,5,0.9,0.7,3,4,3,0.3,0.1,0.0,Standard,0,3,1,3,1.2,1,0,1,Work-Life Balance,"Your recent performance concerns us. If you are too stressed, maybe you need to take some time off?",I've been overloaded for too long. I can't keep up at this point.,BU2,REG1
EID460663,2,Analyst,0,2,0.7,0.8,2,2,3,0.2,0.2,0.0,R&D,0,3,0,2,1.1,1,0,0,None,How about we start some additional training to develop your data visualization skills?,Thanks for the training. I would like to be a senior analyst soon.,BU8,REG3
EID733052,5,Analyst,1,2,1.2,0.85,3,5,4,0.6,0.2,0.0,Standard,0,4,1,3,1.0,2,0,0,None,Continue your great work on data analysis. We're looking into expanding your role in the next quarter.,I appreciate the feedback and am excited about the possibility of taking on more responsibility.,BU2,REG2
EID377370,12,Manager,3,4,1.5,0.95,5,2,5,0.2,0.15,0.0,R&D,1,5,2,4,0.7,4,1,0,None,Your leadership on the Alpha project was exemplary. We're considering you for the Director role next year.,Thank you. I'm committed to the company's success and ready for new challenges.,BU3,REG2
EID946335,3,Engineer,0,3,0.7,0.65,1,1,2,-0.3,0.3,1.0,Client-facing,0,2,0,2,1.8,0,0,1,Better Offer,We value your contributions. How about a 10% salary increase and a project of your choice?,"I appreciate the offer, but another company has offered me a senior position with significantly higher compensation and growth opportunities. I need to consider my long-term career goals.",BU9,REG3
EID145561,8,Analyst,1,5,0.9,0.75,2,3,3,-0.1,0.25,0.0,Standard,0,3,1,3,1.2,1,0,1,Career Growth,We see potential in you. Let's discuss a tailored training plan and potential for a senior analyst role within the next year.,"I'm thankful for the consideration, but I feel I've plateaued here. I'm looking for a role where I can utilize more advanced skills and have a greater impact.",BU8,REG4
EID865179,1,Engineer,0,1,0.6,0.6,0,0,2,-0.5,0.4,0.0,Client-facing,0,2,0,1,1.9,0,0,1,Work-Life Balance,We understand the workload has been high. We can offer flexible hours and remote work options to improve your work-life balance.,"I appreciate the offer, but the project demands are consistently high, leading to significant stress and burnout. I need to prioritize my well-being.",BU6,REG2
EID581741,15,Director,4,6,1.6,0.98,6,4,5,0.7,0.1,0.0,R&D,1,5,3,4,0.6,5,2,0,None,Your strategic vision has been instrumental to our success. How about we discuss a leadership retreat focused on innovation and strategic partnerships?,I'm energized by the opportunities here and looking forward to contributing further.,BU2,REG3
EID662275,6,Engineer,1,3,1.1,0.8,4,3,4,0.3,0.2,1.0,Standard,0,4,1,3,1.1,2,0,0,None,We acknowledge your skills in solving complex problems. We'd love for you to mentor junior engineers on new technologies.,I'm keen to build my leadership skills and contribute to the professional development of my team.,BU8,REG1
EID230889,2,Analyst,0,2,0.8,0.7,1,2,3,-0.2,0.35,0.0,Client-facing,0,3,0,2,1.5,0,0,1,Manager Issue,I apologize for the recent issues with your previous manager. We have reassigned you to a new team with a highly supportive and experienced leader. We also offer conflict resolution training for you.,"While I'm relieved about the manager change and the training, the negativity has affected my trust in the company's management. I need a fresh start elsewhere.",BU4,REG3
EID496922,10,Manager,2,5,1.4,0.9,5,3,5,0.5,0.18,0.0,R&D,0,5,2,4,0.8,3,1,0,None,Your guidance has been crucial to fostering a positive team environment. How about we discuss a training budget for each team member and a project focused on team-building activities?,I'm enthusiastic about fostering a collaborative team environment and I believe the training budget would be immensely helpful in further promoting growth.,BU2,REG1
EID182627,4,Consultant,0,4,0.9,0.7,2,1,3,-0.4,0.28,0.0,Client-facing,0,3,0,2,1.6,1,0,1,Better Offer,We recognize your valuable insights and client-facing skills. We'd love to offer you a raise of 8% and a performance-based bonus.,"While I appreciate the offer, another company has offered me a higher base salary and a more clearly defined career path. I feel like it is the better opportunity for me.",BU3,REG2
EID678856,7,Engineer,1,4,1.2,0.82,3,4,4,0.4,0.22,0.0,Standard,0,4,1,3,1.1,2,0,0,None,Your technical skills have consistently improved over the year. We are considering placing you on the fast track program to boost your career.,That sounds like an amazing opportunity. I will continue to perform at my best.,BU9,REG1
EID407419,13,Manager,3,3,1.5,0.92,4,3,5,0.3,0.13,0.0,R&D,1,5,2,4,0.9,3,1,0,None,You've consistently exceeded expectations in leading your team and your project is on track for early completion. What are your thoughts on leading a project on next-generation AI technologies?,That would be an amazing opportunity and I am eager to start.,BU7,REG4
EID969693,9,Analyst,2,2,1.3,0.88,4,2,4,0.2,0.19,0.0,Standard,0,4,1,3,1.0,3,0,0,None,Your quick insights have helped deliver meaningful results. We would like for you to be a mentor for the next cohort of interns.,"It is truly an honor, I will make sure to provide the interns with the guidance they need.",BU10,REG2
EID759176,2,Engineer,0,2,0.7,0.68,1,1,2,-0.3,0.33,0.0,Client-facing,0,2,0,2,1.7,0,0,1,Work-Life Balance,We see your potential and would like to offer you additional support through counseling and flexible work hours.,I appreciate the gesture but I have already made my decision to leave. My mental health is a priority for me.,BU6,REG4
EID748564,5,Consultant,0,5,0.9,0.72,2,1,3,-0.2,0.29,0.0,Standard,0,3,0,2,1.5,1,0,1,Career Growth,We would like to discuss how we can help you advance your career in the company by placing you in new projects and offering you relevant professional courses.,Thank you for offering to help but I would prefer to pursue a role where there is a clear and definite growth path laid out.,BU6,REG4
EID479201,3,Analyst,0,3,0.75,0.7,2,3,3,0.15,0.2,0.0,Standard,0,3,0,3,1.0,1,0,0,None,"Your performance is good, focus on improving your data analysis skills through advanced training.",I appreciate the feedback. I'm looking forward to expanding my skillset.,BU1,REG1
EID705397,7,Engineer,1,3,1.2,0.85,5,5,4,0.6,0.15,0.0,R&D,0,4,1,4,0.8,3,1,0,None,Your R&D work is outstanding! We're considering you for a senior engineer role next year.,That's great to hear! I'm eager to take on more challenging projects.,BU5,REG1
EID301629,2,Analyst,0,2,0.6,0.65,1,1,2,-0.3,0.3,1.0,Client-facing,0,2,0,2,1.5,0,0,1,Work-Life Balance,We understand you're feeling stressed. We can offer more flexible hours and reduced client travel.,I appreciate the offer  but I need a job with a more predictable schedule to better manage my personal commitments.,BU9,REG3
EID838797,10,Manager,2,4,1.5,0.9,7,8,5,0.75,0.1,0.0,Standard,1,5,2,3,0.7,5,2,0,None,You've consistently delivered excellent results. Consider taking on a mentorship role to help junior employees.,I'd be happy to mentor new team members. It's important to give back and support their growth.,BU7,REG2
EID172933,5,Engineer,1,2,1.0,0.75,4,4,3,0.3,0.25,0.0,Client-facing,0,3,1,3,1.1,2,0,0,None,Keep up the good work! Your client feedback is consistently positive.,Thanks  I enjoy working directly with clients and finding solutions for them.,BU5,REG4
EID148050,1,Analyst,0,1,0.55,0.6,0,0,2,-0.2,0.4,0.0,Standard,0,2,0,2,1.8,0,0,1,Manager Issue,We value your contributions. Let's schedule regular check-ins and provide more structured support. I'll also ensure you get proper project assignments.,This is encouraging  but recent communication issues and lack of mentorship have made it too difficult to continue here.,BU7,REG2
EID793384,15,Director,3,5,1.7,0.95,9,9,5,0.85,0.05,0.0,R&D,2,5,3,4,0.6,7,3,0,None,Your leadership is invaluable. We're looking at expanding your department and granting you more autonomy.,I'm excited about the prospect of growing the department and taking on new responsibilities.,BU7,REG1
EID338968,4,Consultant,0,4,0.8,0.8,3,3,3,0.2,0.2,0.0,Client-facing,0,3,0,3,1.2,1,0,0,None,Your consultancy skills are improving. We'll provide opportunities for you to participate in bigger client projects.,I'm eager to expand my experience and work on more complex projects.,BU5,REG1
EID910620,8,Engineer,2,2,1.4,0.88,6,6,4,0.7,0.15,0.0,R&D,0,4,2,4,0.9,4,1,0,None,We acknowledge you have the potential to be the lead engineer. We will recommend you for advanced trainings to prepare.,That's great. I will embrace the training and put in the work necessary for a lead role.,BU7,REG1
EID403445,6,Manager,1,3,1.1,0.8,5,5,4,0.4,0.2,0.0,Standard,0,4,1,3,1.0,3,1,0,None,We appreciate your team leadership. We will try and add more people to your team to help with workload.,That is great news  more team members will help us be more innovative.,BU4,REG1
EID183667,9,Analyst,2,3,1.6,0.92,7,7,5,0.8,0.1,0.0,R&D,1,5,2,4,0.7,5,2,0,None,Your analytical skills are instrumental for our R&D projects. We can offer you a senior research position.,I'm interested in a senior research position and exploring new data analysis methodologies.,BU6,REG2
EID996865,3,Consultant,0,3,0.7,0.7,2,2,3,0.1,0.35,1.0,Client-facing,0,3,0,2,1.6,1,0,1,Better Offer,We are willing to increase your salary by 10% and offer you a more challenging client.,I appreciate the offer  but I have already accepted a position with another company that aligns with my long-term career goals.,BU5,REG3
EID344098,12,Engineer,3,4,1.5,0.9,8,8,5,0.65,0.05,0.0,Standard,1,5,3,3,0.8,6,2,0,None,We are grateful for your engineering expertise. You should start documenting and creating standards for the team,I am happy to do that. That will give me a chance to work closer with the team members.,BU8,REG1
EID205907,5,Analyst,1,2,1.2,0.85,4,4,4,0.5,0.2,0.0,Client-facing,0,4,1,3,0.9,3,1,0,None,Your analytical skills are valuable. I see great potential in you for an analytics manager role.,That is exciting  I would really enjoy being an analytics manager!,BU10,REG2
EID498591,2,Engineer,0,2,0.65,0.65,1,1,2,-0.15,0.3,0.0,R&D,0,2,0,2,1.4,0,0,1,Career Growth,"We'll create a development plan focusing on your strengths, offering mentorship, and outlining growth opportunities.",I appreciate the offer  but I am pursuing positions with more opportunities for growth and advancement.,BU9,REG3
EID391476,7,Manager,1,4,1.3,0.82,6,6,4,0.55,0.15,0.0,Client-facing,0,4,1,4,0.9,4,1,0,None,Your leadership is invaluable to client accounts. Let's discuss strategies for team retention.,I am happy to come up with strategies and programs to encourage retention.,BU3,REG1
EID575435,10,Consultant,2,3,1.4,0.88,7,7,4,0.7,0.1,0.0,Standard,1,4,2,3,0.7,5,2,0,None,Your consulting is extremely beneficial. We will recommend you as a speaker at an upcoming conference.,I would love to speak at a conference  it is good to stay visible within the industry.,BU8,REG2
EID766563,4,Engineer,0,4,0.8,0.75,3,3,3,0.25,0.25,0.0,R&D,0,3,0,3,1.1,1,0,0,None,Keep up the good work! We can give you some advanced trainings,That would be great  there are so many programs I am excited to dive into!,BU8,REG2
EID974628,1,Analyst,0,1,0.5,0.6,0,0,2,-0.35,0.45,1.0,Client-facing,0,2,0,2,1.9,0,0,1,Work-Life Balance,"I understand you're having difficulties balancing work with life. You have 2 options, a reduced workload to focus on analysis, or flexible hours.",I appreciate the options  but the job is more consuming than expected  I need an opportunity with less frequent travel.,BU6,REG1
EID482554,6,Engineer,1,3,1.1,0.8,5,5,4,0.4,0.2,0.0,Standard,0,4,1,3,1.0,3,1,0,None,"Your engineering work on the product is essential to the product development, we will look into rewarding you",That is great  a little acknowledgement goes a long way.,BU1,REG2
EID270555,5,Engineer,1,2,1.2,0.85,3,4,4,0.3,0.2,0.0,Standard,0,4,1,3,1.0,2,0,0,None,Keep up the great work.  Let's discuss your career goals in our next one-on-one.,I'm focused on improving my skills and taking on more responsibility.,BU6,REG4
EID488162,2,Analyst,0,2,0.7,0.6,1,1,2,-0.2,0.3,1.0,R&D,1,2,0,2,1.8,0,0,1,Work-Life Balance,We can offer you more flexible work hours and reduced workload on this project.,"I appreciate the offer, but my personal commitments require more flexibility than is possible here. I need to prioritize my family needs.",BU2,REG3
EID472528,10,Manager,2,4,1.5,0.9,5,6,5,0.6,0.1,0.0,Client-facing,0,5,2,4,0.8,5,1,0,None,You've consistently exceeded expectations. Let's talk about your career path to a Director role.,I'm very interested in that. I'm ready for a new challenge.,BU2,REG1
EID319684,3,Engineer,0,3,0.9,0.7,2,2,3,-0.1,0.4,0.0,Standard,0,3,0,2,1.5,1,0,1,Career Growth,"We recognize your potential, and we're committed to developing your skills. We can provide mentorship and more challenging projects.","While I appreciate the offer, the growth trajectory seems slow. I've received an offer elsewhere that offers a more immediate path to a senior engineering role.",BU10,REG3
EID802729,7,Consultant,1,3,1.3,0.8,4,5,4,0.4,0.2,1.0,Client-facing,1,4,1,3,1.2,3,0,0,None,Your contributions to our client projects have been invaluable.  How are you feeling about your current workload?,"I'm generally happy, but I'm interested in exploring new client opportunities if they become available.",BU7,REG2
EID379946,1,Analyst,0,1,0.6,0.5,0,0,2,-0.3,0.1,0.0,R&D,0,2,0,2,1.9,0,0,1,Manager Issue,We've addressed the feedback concerning the manager's communication style.  We're implementing new team training to ensure a supportive environment.,"I respect the effort being made, but the past experiences have created a difficult environment for me to thrive in.  It's better for me to move on.",BU7,REG3
EID835911,12,Director,3,5,1.6,0.95,6,7,5,0.7,0.3,0.0,Standard,0,5,3,4,0.7,6,2,0,None,You are a vital leader in our organization. We will continue to support you and your team's growth.,Thank you. I am dedicated to driving our department forward.,BU3,REG2
